ssn,first_name,middle_name,last_name,gender,current_age,street_address,email,marital_status,current_timestamp,street_address_med,state_med,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,deceased_status
c117064367,rose,jean,hunt,f,25, 243  pyrmont  street ,hunt.rose@mail.com.au,married,2018-7-31t20:18+00:00, 243    pyrmont    street ,nsw,92,30,75,149,,worsening-diabetes,0
d176532722,william,lynn,conner,m,45, 64  goodwin  circuit ,william81@aol.com,not-married,2018-7-31t03:47+00:00, 64    goodwin    circuit ,sa,119,32,79,230,0,lower-back-pain,0
e153571740,paul,edward,bissinger,m,54, 21  cavenagh  street ,bissinger39@aol.com,married,2018-7-31t19:05+00:00, 21    cavenagh    street ,nt,117,36,76,168,,small-scotoma-in-l-eye,0
h147363681,brandon,,green,m,22, 8  cardiff  street ,brandon.green@mail.com,married-de-facto,2018-7-31t13:18+00:00, 8    cardiff    street ,vic,114,41,71,167,0,muskeletal-pain,0
f122562352,dwayne,o,thompson,m,27, 13  first  walk ,thompson14@aol.com,separated,2018-7-31t07:20+00:00, 13    first    walk ,nsw,100,27,78,173,1,low-energy,0
c135282653,james,cortez,brady,m,17, 22  osborne  street ,brady.james@yahoo.com,n/a,2018-7-31t10:03+00:00, 22    osborne    street ,qld,59,21,77,256,,depressed-mood,0
b175863283,william,murray,walker,m,34, 215  rowbotham  street ,walker11@gmail.com,married,2018-7-31t02:34+00:00, 215    rowbotham    street ,qld,113,33,76,79,0,hospitalization-dx-r/o-nph,0
i156421050,adeacia,rene,arreola,f,28, 20  candish  street ,arreola18@aol.com,married-de-facto,2018-7-31t08:56+00:00, 20    candish    street ,qld,95,38,76,114,,skin-cancer-on-nose-and-on-left-ankle,0
f173298232,freddy,keith,henderson,m,22, 19  day  street ,freddy.henderson@gmail.com,not-married,2018-7-31t07:38+00:00, 19    day    street ,nsw,108,28,75,113,0,syncope,0
d178569624,sharon,lynn,brinn,f,33, 42  kurrajong  crescent ,jqhbmmdtgt@mail.com,married,2018-7-31t15:37+00:00, 42    kurrajong    crescent ,nt,106,34,78,166,,vomiting,0
c161815196,barbara,perry,Miss,f,18, 67  hannam  vale  road ,knopngijsb@mail.com.au,n/a,2018-7-31t12:58+00:00, 67    hannam    vale    road ,nsw,75,24,73,113,,tripping-incidents-related-to-right-foot,0
c186537794,bernhard,carmine,kline,m,30, 1  pioneer  road ,kline34@aol.com,separated,2018-7-31t12:58+00:00, 1    pioneer    road ,nsw,120,42,75,154,0,celiac's-disease,0
a103462431,ernestine,krause,lott,f,36, 17  harriet  street ,lott.ernestine@gmail.com,not-married,2018-7-31t02:06+00:00, 17    harriet    street ,nsw,93,32,74,187,,automobile-accident,0
b114227728,polly,c,walter,f,57, 211  green  valley  road ,aselkpakar@yahoo.com,married-de-facto,2018-7-31t12:55+00:00, 211    green    valley    road ,nsw,77,25,74,132,,torn-ligaments,0
e139557008,danny,eugene,mcdowall,m,29, 328  wattletree  road ,rfgiacbpqf@gmail.com,married,2018-7-31t16:46+00:00, 328    wattletree    road ,vic,121,43,78,138,0,ankle-swelling,0
d115308561,brandon,domike,dula,m,52, 24  pentland  parade ,brandon.dula@mail.com,married,2018-7-31t01:27+00:00, 24    pentland    parade ,vic,100,35,74,164,0,drowsiness,0
i147065384,andrew,,willis,m,49, 65  greville  avenue ,willis.andrew@hotmail.com,not-married,2018-7-31t10:38+00:00, 65    greville    avenue ,,98,26,77,251,0,falls,0
i157892276,daniel,eugene,culler,m,40, 152  fern  road ,aiahrmbite@yahoo.com,divorced,2018-7-31t21:46+00:00, 152    fern    road ,wa,133,34,73,258,0,pulled-muscle,0
b131731779,walter,steven,bumgardner,m,38, 23  roberts  way ,bumgardner35@aol.com,married-de-facto,2018-7-31t17:50+00:00, 23    roberts    way ,nsw,74,21,76,225,0,r-eye-macular-degeneration,0
a114612523,mary,cox,bowen,f,43, 16  skylark  circuit ,bowen.mary@aol.com,married-de-facto,2018-7-31t15:12+00:00, 16    skylark    circuit ,nsw,116,48,80,238,,shortness-of-breath,0
b114325937,blair,lawrence,eudy,m,21, 1  benelong  crescent ,blair100@mail.com.au,married,2018-7-31t01:40+00:00, 1    benelong    crescent ,nsw,131,35,73,99,,low-energy,0
g144411886,catherine,b,kidd,f,35, 1  woodland  street ,kidd.catherine@gmail.com,not-married,2018-7-31t22:18+00:00, 1    woodland    street ,vic,116,39,74,195,,urinary-discomfort,0
a190065321,curtis,bernard,serrano,m,59, 1  lower  fort  street ,serrano.curtis@mail.com,married-de-facto,2018-7-31t11:03+00:00, 1    lower    fort    street ,nsw,89,29,71,185,,cold-(viral),0
i107456862,alan,w,pike,m,36, 33  alfred  street ,pike.alan@mail.com.au,married-de-facto,2018-7-31t03:44+00:00, 33    alfred    street ,vic,135,34,73,115,,elevated-psa-levels,0
b192116750,james,shae,nettles,m,47, 63  fairfield  road ,james.nettles@aol.com,married,2018-7-31t06:35+00:00, 63    fairfield    road ,nsw,87,21,76,217,,dizziness---while-walking---sat-for-5-min-and-resolved,0
d114703461,julian,vance,shires,m,27, 304  rathmines  street ,jccdtaeehh@gmail.com,not-married,2018-7-31t18:05+00:00, 304    rathmines    street ,vic,81,28,80,287,1,abdominal-discomfort,0
c185186822,carlos,howard,phelps,m,30, 22  lowanna  street ,carlos55@gmail.com,married,2018-7-31t07:07+00:00, 22    lowanna    street ,act,137,45,76,169,0,slight-ankle-swelling,0
f187719509,koran,gordon,gaddy,m,24, 27  myoora  road ,gaddy59@mail.com.au,not-married,2018-7-31t12:20+00:00, 27    myoora    road ,nsw,85,30,74,113,0,epistaxis-from-left-nares,0
c197352578,lashounda,leah,piver,f,41, 126  stanley  road ,qqpegcbras@gmail.com,married,2018-7-31t05:42+00:00, 126    stanley    road ,qld,66,27,78,127,,intermittent-visual-changes-,0
f192685027,william,yu,ross,m,31, 67  laura  street ,ross57@mail.com.au,not-married,2018-7-31t06:12+00:00, 67    laura    street ,qld,143,37,83,220,0,stomach-rash,0
i130974040,william,james,clevesy,m,22, flicks  crossing ,william3@yahoo.com,married,2018-7-31t22:02+00:00, 36    cornwallis    circuit ,nt,95,33,77,220,,fall,0
b123273091,henry,jon,petty,m,37, 3  huntingdon  parade ,petty.henry@aol.com,not-married,2018-7-31t10:38+00:00, 3    huntingdon    parade ,nsw,124,34,71,148,0,worsening-of-back-pain,0
i170010249,thomas,bryon,hyppolite,m,39, o'brien  avenue ,kekcgiecdn@mail.com.au,not-married,2018-7-31t09:11+00:00, o'brien    avenue ,nsw,120,32,71,85,,fell-down-the-stairs-while-visiting-son,0
g163802276,diana,lynn,teague,f,25, touriga  street ,teague.diana@aol.com,married,2018-7-31t12:32+00:00, touriga    street ,qld,63,23,76,212,,constipation,0
i188090516,michael,dean,Mr,m,47, 11  silky  oak  court ,michael.hinckley@yahoo.com,divorced,2018-7-31t12:03+00:00, 11    silky    oak    court ,nsw,76,21,78,180,0,musculoskeletal-pain,0
g135240720,sharee,bryan,ackerman,f,23, 20  fifth  street ,sharee.ackerman@yahoo.com,married-de-facto,2018-7-31t24:24+00:00, 20    fifth    street ,sa,82,34,73,162,,acute-exacerbation-of-chronic-bronchitis,0
e109349783,brian,collins,ross,m,20, 124  derby  street ,ross.brian@aol.com,not-married,2018-7-31t20:32+00:00, 124    derby    street ,nsw,63,17,71,148,,dehydration,0
g163827716,lynn,,stevenson,f,35, 66  jagera  circuit ,stevenson.lynn@mail.com.au,not-married,2018-7-31t07:53+00:00, 66    jagera    circuit ,qld,67,26,77,178,,hospitalized-for-small-bowel-obstruction,0
c174226548,anthony,,musko,m,22, 10  stephen  street ,anthony.musko@hotmail.com,married,2018-7-31t24:30+00:00, 10    stephen    street ,,67,16,81,111,0,chest-pain,0
e137558170,mark,w,stewart,m,34, glendhu  station ,mmkfqeogne@hotmail.com,married-de-facto,2018-7-31t01:46+00:00, glendhu    station ,qld,111,28,70,171,,head-cold,0
g124876173,william,christopher,douglas,m,25, 184  beach  street ,douglas.william@yahoo.com,not-married,2018-7-31t08:39+00:00, 184    beach    street ,nsw,107,34,72,141,0,punctured-lung-resulting-from-a-fall,0
g177676358,jeremy,lenwood,green,m,21, 16  high  street ,jeremy91@aol.com,widowed,2018-7-31t20:18+00:00, 16    high    street ,nsw,76,19,82,155,0,ankle-swelling,0
a127523629,jeremy,,howard,m,41, 7  bailey  avenue ,qhgdlfbjtc@mail.com,married,2018-7-31t15:24+00:00, 7    bailey    avenue ,,64,18,72,278,0,l-thumb-fracture,0
i192652303,glenn,w,clyburn,m,28, 24  naturaliste  grove ,glenn.clyburn@gmail.com,not-married,2018-7-31t18:15+00:00, 24    naturaliste    grove ,wa,76,21,66,172,,abdominal-discomfort,0
g120687092,phyllis,stogner,barghout,f,52, 313  hindmarsh  drive ,barghout.phyllis@gmail.com,married,2018-7-31t08:23+00:00, 313    hindmarsh    drive ,act,140,60,72,220,,uti,0
f145936197,cheryl,louise,gillespie,f,21, 62  denver  street ,tsorfscgfr@mail.com.au,not-married,2018-7-31t08:05+00:00, 62    denver    street ,vic,71,25,83,112,,abdominal-discomfort,0
h115501972,molly,michelle,killian,f,37, 12  elston  court ,killian.molly@gmail.com,not-married,2018-7-31t08:13+00:00, 12    elston    court ,vic,80,34,74,247,,vertigo,0
f189017453,chalyn,ashley,eckels,f,29, 1  little  lake  crescent ,eckels.chalyn@yahoo.com,married,2018-7-31t12:22+00:00, 1    little    lake    crescent ,nsw,57,21,75,222,,drowsiness,0
g166224379,ernest,andrew,gosney,m,20, 94  river  esplanade ,ernest69@gmail.com,not-married,2018-7-31t17:07+00:00, 94    river    esplanade ,qld,98,35,77,196,,marked-delusions-reported-on-npi-q-by-study-partner,0
c130957900,linda,michele,ordiway,f,38, 19  kalang  road ,ordiway.linda@gmail.com,not-married,2018-7-31t24:35+00:00, 19    kalang    road ,nsw,87,29,71,171,,fell-no-injury,0
g177485785,james,ryan,mitchell,m,19, 55  paperbark  way ,james.mitchell@yahoo.com,married,2018-7-31t20:52+00:00, 55    paperbark    way ,nt,67,18,75,162,1,cold-and-fever,0
f179531486,joshua,mack,moseley,m,44, 8  pickard  street ,bhgnkhnpgk@aol.com,not-married,2018-7-31t17:30+00:00, 8    pickard    street ,tas,86,26,72,220,0,right-arm-and-shoulder-discomfort-related-to-fall,0
i105572119,courtney,danielle,swann,f,23, 18  bean  crescent ,swann.courtney@mail.com.au,married,2018-7-31t03:59+00:00, 18    bean    crescent ,act,131,55,75,150,,acute-chf,0
d160832872,harry,robert,bonelli,m,29, 132  darlington  road ,bonelli78@mail.com,not-married,2018-7-31t18:11+00:00, 132    darlington    road ,nsw,128,40,76,178,0,fall,0
c187529510,mee,boyd,herndon,f,32, 26  wakoola  street ,rgbjpncnbm@gmail.com,married,2018-7-31t01:44+00:00, 26    wakoola    street ,nsw,78,29,73,151,,back-pain,0
b172836194,carlos,eugene,dyer,m,31, 44  bennett  street ,dyer76@mail.com,not-married,2018-7-31t02:26+00:00, 44    bennett    street ,nsw,130,37,77,112,,death-secondary-to-alzheimer's-disease,0
e106184567,aaron,howard,davis,m,21, 24  bluegum  avenue ,aaron.davis@gmail.com,married-de-facto,2018-7-31t06:41+00:00, 24    bluegum    avenue ,qld,110,36,75,216,0,fungus-toenail-infection,0
a103384942,roberta,russell,stiller,f,28, 2  kitchener  road ,stiller.roberta@aol.com,married,2018-7-31t08:54+00:00, 2    kitchener    road ,nsw,109,38,77,119,,muscle-soreness-in-r-foot,0
e139106752,sandra,bowman,hunt,f,37, 33  eddington  street ,sskmbafdpq@gmail.com,married,2018-7-31t06:11+00:00, 33    eddington    street ,tas,60,19,76,195,,sinus-infection,0
f199309734,tolar,william,higgins,m,46, 42  griffiths  street ,higgins69@gmail.com,married,2018-7-31t19:23+00:00, 42    griffiths    street ,act,57,15,74,246,0,anxiety,0
c171352000,anthony,wayne,mcclure,m,23, shoal  bay  retreat ,anthony42@hotmail.com,separated,2018-7-31t23:30+00:00, shoal    bay    retreat ,wa,100,26,70,116,0,depressed-mood,0
d111166991,heather,b,ricketts,f,26, 5  quarry  crescent ,ricketts34@yahoo.com,not-married,2018-7-31t05:55+00:00, 5    quarry    crescent ,nt,74,27,77,227,,failed-left-hip-total-hip-arthroplasty,0
h190751921,ashleigh,jean,goldenberg,f,55, 19  argyle  street ,geooprfrlj@mail.com.au,married,2018-7-31t23:07+00:00, 19    argyle    street ,qld,87,30,73,160,,chest-pain,0
b185118881,mechal,marie,strickland,f,32, 3  douglas  street ,mechal55@aol.com,married,2018-7-31t24:07+00:00, 3    douglas    street ,nsw,137,55,67,116,,low-energy,0
g117857467,rachel,elizabeth,anderson,f,42, 8  fenwick  place ,cejeefpgas@hotmail.com,married-de-facto,2018-7-31t17:03+00:00, 8    fenwick    place ,act,134,51,75,138,,failure-to-thrive-secondary-to-ad,0
d164817488,brenda,carranza,morris,f,38, 42  capital  avenue ,morris48@gmail.com,not-married,2018-7-31t11:27+00:00, 42    capital    avenue ,vic,54,17,74,204,,low-energy,0
d155769308,rebecca,hawkins,peterson,f,33, 71  stafford  road ,,married,2018-7-31t12:11+00:00, 71    stafford    road ,qld,85,31,68,201,,constipation,0
g111047441,melvin,o,bueno,m,28, 11  wondai-chinchilla  road ,melvin68@mail.com,married,2018-7-31t09:52+00:00, 11    wondai-chinchilla    road ,qld,122,37,74,182,0,hearing-aids,0
b142655768,charles,r,fortner,m,39, 65  shaftesbury  road ,charles.fortner@mail.com,not-married,2018-7-31t04:45+00:00, 65    shaftesbury    road ,nsw,137,38,81,203,0,drowsiness-(sleeping-more-(12-14-h/night),0
d104935023,oluwatomi,ola,mcdavid,m,26, 47  groundwater  road ,pblikggmrf@aol.com,not-married,2018-7-31t11:50+00:00, 47    groundwater    road ,qld,66,20,78,127,,fall,0
i188209556,paul,eric,sapp,m,33, 8  mundowie  place ,sapp.paul@mail.com,divorced,2018-7-31t10:19+00:00, 8    mundowie    place ,nsw,58,17,75,81,,urinary-frequency,0
b164660964,kenneth,marie,conder,f,38, 174  wilding  street ,conder85@yahoo.com,not-married,2018-7-31t09:26+00:00, 174    wilding    street ,wa,66,20,80,232,,s/p-partial-palmar-fasciectomy,0
d174664275,phyllis,joywaldrop,woods,f,17, 33  roberts  avnue ,abfeirqjrd@aol.com,n/a,2018-7-31t23:44+00:00, 33    roberts    avenue ,nsw,47,15,68,199,,blurred-vision-(bilateral),0
f145430721,sue,sheek,smalls,f,23, 9  charlotte  street ,sue.smalls@yahoo.com,married,2018-7-31t16:18+00:00, 9    charlotte    street ,nt,47,15,68,188,,ankle-swelling,0
e179644523,jessie,pender,edmonds,f,22, 112  hall  street ,jessie.edmonds@mail.com.au,married,2018-7-31t09:02+00:00, 112    hall    street ,nsw,86,32,71,253,,brain-hemorrhage,0
c130384876,david,thomas,seegars,m,82, profkes  road  taramayne ,david49@aol.com,married,2018-7-31t07:43+00:00, profkes    road    taramayne ,qld,58,15,72,191,0,irregular-heartbeat,0
g160162725,pearl,glenn,barker,f,24,,rdeadndbej@mail.com.au,not-married,2018-7-31t20:39+00:00,,act,102,40,78,193,,dizziness,0
f130034979,judtih,f,davis,f,42, 20  first  avenue ,fpntjcjsof@aol.com,not-married,2018-7-31t04:19+00:00, 20    first    avenue ,vic,130,45,80,171,,fall,0
g164912947,kecia,dawn,walker,f,29, 11  columbia  street ,kecia78@mail.com,divorced,2018-7-31t06:14+00:00, 11    columbia    street ,qld,85,27,76,232,,fall,0
a136151819,david,adam,recore,m,32, 30  weir  street ,david8@hotmail.com,married-de-facto,2018-7-31t11:37+00:00, 30    weir    street ,vic,83,26,72,89,,tires-easily,0
i173893944,vaishali,mae,strickland,f,25, rainbow  crescent ,vaishali.strickland@mail.com.au,married,2018-7-31t02:02+00:00, rainbow    crescent ,qld,119,42,77,160,,colonoscopy,0
h149340601,mary,nichole,cloud,f,25, 109  bourke  street ,mary.cloud@gmail.com,married-de-facto,2018-7-31t14:53+00:00, 109    bourke    street ,nsw,94,31,73,116,,fall,0
d113487186,mitchell,russell,evans,m,33, 155  somerset  street ,evans.mitchell@yahoo.com,married,2018-7-31t04:19+00:00, 155    somerset    street ,vic,106,38,77,184,,trigger-finger,0
g161803379,alison,elizabeth,letourneau,f,39, 29  anson  street ,alison.letourneau@mail.com,married,2018-7-31t18:32+00:00, 29    anson    street ,nsw,91,39,73,159,,mitral-valve-regurgiation,0
g154930350,aimee,milom,deal,f,32, 13  manniche  avenue ,aimee67@mail.com.au,married,2018-7-31t02:52+00:00, 13    manniche    avenue ,vic,53,23,75,74,,radiation-treatment-for-prostate-cancer,0
b182838162,winifred,campbell,moore,f,37, 25  elizabeth  street ,tfelmgkage@aol.com,married,2018-7-31t13:01+00:00, 25    elizabeth    street ,vic,88,37,69,150,,herpes-zoster-[shingles],0
f199499699,terri,beth,leung,f,18, 11  wentworth  parade ,qeqnagbtjn@yahoo.com,n/a,2018-7-31t01:38+00:00, 11    wentworth    parade ,nsw,60,23,75,181,,fever,0
d119126566,ann,clara,ivey,f,39, 32  beach  parade ,ivey.ann@mail.com,married,2018-7-31t06:54+00:00, 32    beach    parade ,nsw,129,41,80,211,,palpitations,0
i107867839,leonard,maurice,allendorf,m,52, 15  waranga  drive ,allendorf26@gmail.com,married-de-facto,2018-7-31t01:01+00:00, 15    waranga    drive ,vic,115,39,75,149,0,right-thumb-pain,0
e169048132,willy,e,catlett,m,40, 28  woodland  drive ,willy.catlett@mail.com.au,separated,2018-7-31t14:48+00:00, 28    woodland    drive ,,80,27,70,109,,dermatochalasis,0
f171606020,kenneth,douglas,bernard,m,35, black  hill  road ,bernard44@mail.com.au,not-married,2018-7-31t03:39+00:00, black    hill    road ,nsw,64,17,75,132,0,dry-mouth,0
c180536282,tabitha,byers,hawley,f,67, 16  thistle  down  drive ,hawley.tabitha@hotmail.com,married-de-facto,2018-7-31t24:15+00:00, 16    thistle    down    drive ,tas,122,39,80,109,,cataract-removal-in-left-eye-and-lens-placement,0
e177746321,nelson,s,cox,m,25, 16  piper  avenue ,cox.nelson@aol.com,married,2018-7-31t19:58+00:00, 16    piper    avenue ,tas,139,46,71,181,0,urinary-frequency,0
f157334287,jesse,matthew,murray,m,32, 27  the  trongate ,jesse30@mail.com.au,not-married,2018-7-31t07:44+00:00, 27    the    trongate ,nsw,76,45,75,188,0,bradycardia-w/-r-bundle-branch-block,0
h156060149,jennifer,ann,myers,f,46, 4  elm  street ,myers.jennifer@mail.com.au,divorced,2018-7-31t17:19+00:00, 4    elm    street ,vic,119,48,75,168,,dizziness,0
e155201115,theresa,,grey,f,27, 10  kenley  close  blackalls    park  2283  nsw ,theresa.grey@gmail.com,married-de-facto,2018-7-31t20:36+00:00, 10    kenley    close ,nsw,107,,73,165,,cough,0
c147788058,frederick,mcalister,gregory,m,27, 55  north  mine  street ,gregory90@aol.com,married,2018-7-31t09:26+00:00, 55    north    mine    street ,nsw,121,41,77,112,0,constipation,0
i188236478,richard,michael,tolbert,m,40, 87  mona  vale  road ,richard.tolbert@mail.com.au,divorced,2018-7-31t15:23+00:00, 87    mona    vale    road ,nsw,140,50,77,137,,fainted,0
h197788903,lillian,renee,robinson,f,37, 3  prince  street ,lillian.robinson@aol.com,not-married,2018-7-31t10:45+00:00, 3    prince    street ,vic,56,24,74,93,,intestinal-infection,0
a190754609,tiffany,j,kitzner,f,32, west  road ,tiffany22@mail.com.au,divorced,2018-7-31t19:57+00:00, 33    george    crescent ,nt,117,40,84,220,,depression,0
c147454494,beverly,franceskatheri,ratchford,f,43, 27  czarnecki  street ,nogttrmkci@mail.com,married,2018-7-31t07:13+00:00, 27    czarnecki    street ,qld,89,56,75,163,,depressed-mood,0
h100549159,joshua,ladonte,kinley,m,32, 14  numbat  place ,joshua.kinley@mail.com,married,2018-7-31t24:16+00:00, 14    numbat    place ,nsw,130,33,70,167,0,coughing,0
d142245452,meryl,rice,brooks,f,38, 15  caedell  street ,,married,2018-7-31t24:02+00:00, 15    caedell    street ,,84,26,84,210,,vaginal-dryness,0
b102739905,martha,marie,edwards,f,25, 27  hotham  court ,martha.edwards@mail.com,not-married,2018-7-31t01:31+00:00, 27    hotham    court ,nt,129,46,67,172,,tendinitis-lower-lumbar,0
g190592033,jonathan,andrew,rankin,m,25, 10  barossa  street ,bjpmkiropt@aol.com,not-married,2018-7-31t02:59+00:00, 10    barossa    street ,nt,59,14,74,159,,right-ankle-swelling,0
d143039058,kent,junior,norbut,m,29, 27  sirius  street  coorparoo  4151  qld ,norbut.kent@gmail.com,married,2018-7-31t16:25+00:00, 27    sirius    street ,qld,125,36,76,266,,yeast-infection-in-groin-area,0
f158750405,michael,jason,mcclain,m,31, 32  aralia  street ,mcclain.michael@mail.com,separated,2018-7-31t23:08+00:00, 32    aralia    street ,nt,88,24,70,291,,lower-back-pain-on-left-side-and-pain-goes-toward-his-foot,0
g102388316,walter,randall,hillert,m,27, 42  clifford  way ,,separated,2018-7-31t20:43+00:00, 42    clifford    way ,sa,136,47,76,172,0,aggitation,0
i152514634,tavarres,w,nagy,m,25, 342  preston  point  road ,sktjragphp@aol.com,married-de-facto,2018-7-31t20:48+00:00, 342    preston    point    road ,wa,60,16,79,189,0,upper-back-pain,0
b183795879,steven,m,craig,m,37, old  mines  road ,steven.craig@yahoo.com,married-de-facto,2018-7-31t19:13+00:00, old    mines    road ,nsw,147,52,74,200,0,basal-cell-ca-removed-from-under-right-eye,0
e120486679,crystal,gervais,sherrod,f,23, 78  dargie  avenue ,sherrod.crystal@mail.com,not-married,2018-7-31t12:17+00:00, 78    dargie    avenue ,sa,120,37,75,220,,leg-weakness,0
e167401445,anna,wolverton,kemp,f,33, 36  avondale  avenue ,pfltnppptq@mail.com,married,2018-7-31t10:06+00:00, 36    avondale    avenue ,nsw,128,54,73,110,,death,0
i167663095,john,j,cifuni,m,27, 135  pratten  street ,cifuni19@mail.com.au,married,2018-7-31t14:36+00:00, 135    pratten    street ,qld,136,36,75,140,0,sweat-after-exertion,0
e198828551,sadie,parris,hatchett,f,22, 23  chiswick  place ,hatchett.sadie@gmail.com,married,2018-7-31t06:28+00:00, 23    chiswick    place ,nsw,88,37,78,71,,insomnia,0
f155105905,robert,henry,atherton,m,12, 21  meyer  street ,robert72@mail.com.au,n/a,2018-7-31t17:50+00:00, 21    meyer    street ,qld,42,20,83,174,,urinary-discomfort,0
h121324486,amanda,eckstein,myers,f,22, lyndhurst  street  bridgewater    on    loddon  3516  vic ,ehonmqkski@mail.com.au,married-de-facto,2018-7-31t05:39+00:00, lyndhurst    street ,vic,95,37,73,184,,spontaneous-falls,0
d111437454,dina,,knowles,f,38, 5  marvan  place ,knowles70@mail.com,married-de-facto,2018-7-31t08:30+00:00, 5    marvan    place ,,57,23,72,219,,atrial-fib,0
i106056474,george,patrick,whitehurst,m,37, 2  hayes  street ,george.whitehurst@hotmail.com,married-de-facto,2018-7-31t02:34+00:00, 2    hayes    street ,nt,121,31,72,240,,melenoma-on-left-ear,0
f176941665,kimberly,sue,henningsen,f,27, 11  whittaker  street ,kimberly60@aol.com,married,2018-7-31t05:08+00:00, 11    whittaker    street ,nsw,139,54,75,173,,infection---right-thigh,0
i172502408,donald,t,collins,m,32, 4  jean  street ,donald54@hotmail.com,married,2018-7-31t10:53+00:00, 4    jean    street ,nsw,59,21,74,148,,abdominal-discomfort,0
