ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,marital_status,current_timestamp,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
g142097789,maggie,prince,kinsland,f,29,30/3/1989, 47  the  parkway ,balgownie,2519,nsw, 02  8009  1804 ,maggie.kinsland@mail.com.au,married-de-facto,2018-7-31t21:40+00:00,other-worker,27000.0,26370e38da2709130ba914e7863ed2bd,10,2018-06-08t06:37+00:00
b194446874,ernesto,lee,musser,m,27,2/8/1991, 4  oldhome  court , narre    warren ,3805,vic, 03  4096  9948 ,ernesto.musser@gmail.com,married,2018-7-31t13:42+00:00,other-technician,95700.0,115760aed4794e821a30a052ec3ac018,8,2018-03-14t10:10+00:00
c186830045,william,michael,contreras,m,42,24/5/1976, 30  fairlea  road ,razorback,2571,nsw, 02  2458  5500 ,william22@hotmail.com,married,2018-7-31t05:06+00:00,personal-assistant,53100.0,1e3b2b650d12422447d37c4456366862,22,2017-06-01t17:08+00:00
a193715164,simon,hansford,satrazemis,m,29,12/3/1989, 129  middleton  street , mount    gravatt ,4122,qld, 07  4244  7543 ,simon.satrazemis@gmail.com,married,2018-7-31t06:18+00:00,carer,31600.0,e49248120b876d5db016790f34515a42,3,2011-11-09t21:33+00:00
i142913278,jean,brooks,damrau,f,28,8/8/1990, 8  jersey  avenue ,mortdale,2223,nsw, 02  4020  1734 ,damrau.jean@hotmail.com,not-married,2018-7-31t01:05+00:00,other-technician,60500.0,42609c3642140891a49c2100ea3a1b77,5,2014-05-23t04:22+00:00
f198678788,shelia,purifoy,nielsen,f,31,15/7/1987, 25  ternau  street , rapid    creek ,0810,nt, 08  1455  5637 ,nielsen25@mail.com.au,married,2018-7-31t15:49+00:00,construction-worker,24800.0,da3a356c0ac680d80afe28a99cbc76bd,12,2018-06-10t17:45+00:00
c148977373,erin,ann,ward,f,43,6/10/1975, 23  curedale  mews , bull    creek ,6149,wa, 08  7487  3926 ,ward.erin@aol.com,married,2018-7-31t06:52+00:00,farm-worker,10700.0,f238d35a2848ab1ae9f3a07a3c17a6d9,24,2018-06-01t19:12+00:00
d105794748,steven,edison,king,m,38,2/7/1980, 139  aquarius  drive ,frankston,3199,vic, 03  1147  6792 ,steven10@aol.com,divorced,2018-7-31t03:41+00:00,other-technician,120600.0,595ad68ed9089beb3bdeab6c406df8ea,19,2018-02-12t07:47+00:00
f100777872,jashuben,souther,hines,f,32,2/7/1986, 3  joseph  street , murray    bridge ,5253,sa, 08  1421  3989 ,hines.jashuben@mail.com.au,not-married,2018-7-31t15:05+00:00,ict-professional,57000.0,bd7868e13691b9c2fbd4e5d5f38c6fb0,13,2018-01-20t24:23+00:00
a143929901,scott,donavan,reed,m,37,3/12/1981, 51  short  street ,inverell,2360,nsw, 02  1079  9451 ,scott2@aol.com,married,2018-7-31t18:16+00:00,engineering-worker,76300.0,b7b5879f6fabc445a5f5373b7a594bee,18,2018-01-07t10:48+00:00
d132104073,joann,ester,hayden,f,35,13/8/1983, 27  victoria  avenue ,penshurst,2222,nsw, 02  9710  0662 ,dfhlqcsppq@aol.com,not-married,2018-7-31t05:47+00:00,chief-executive,81800.0,4b9ab8d5116dfa15971ddabe19bc273a,14,2016-11-11t17:12+00:00
i185813615,miguel,stennis,vastis,m,24,7/7/1994, 20  brand  street ,bundaberg,4670,qld, 07  1318  8469 ,ghjoomptoe@hotmail.com,married,2018-7-31t09:30+00:00,ict-technician,77900.0,009bd2545af2342de85667fbe9827691,5,2018-04-22t02:57+00:00
c117064367,rose,jean,hunt,f,25,23/2/1993, 243  pyrmont  street ,pyrmont,2009,nsw, 02  5659  3822 ,hunt.rose@mail.com.au,married,2018-7-31t20:18+00:00,ict-professional,56400.0,2d8b3f80ec3eb82624592eaa41070bc1,6,2018-03-26t02:05+00:00
d176532722,william,lynn,conner,m,45,7/7/1973, 64  goodwin  circuit , golden    grove ,5125,sa, 08  6410  9151 ,william81@aol.com,not-married,2018-7-31t03:47+00:00,ict-technician,104700.0,27aea05e5076d59a6f568a2571047a63,26,2018-01-18t14:06+00:00
e153571740,paul,edward,bissinger,m,54,13/11/1964, 21  cavenagh  street ,darwin,0800,nt, 08  7675  7411 ,bissinger39@aol.com,married,2018-7-31t19:05+00:00,ict-technician,152400.0,8774e798416e97e354732aa326a53389,35,2018-01-10t18:01+00:00
h147363681,brandon,,green,m,22,16/2/1996, 8  cardiff  street ,boronia,3155,vic, 03  9563  4602 ,brandon.green@mail.com,married-de-facto,2018-7-31t13:18+00:00,other-worker,54400.0,,3,2018-03-02t08:27+00:00
f122562352,dwayne,o,thompson,m,27,8/3/1991, 13  first  walk ,villawood,2163,nsw, 02  8392  1970 ,thompson14@aol.com,separated,2018-7-31t07:20+00:00,legislator,130000.0,ac43569336a133872db7804ed39c6423,8,2018-05-17t06:15+00:00
c135282653,james,cortez,brady,m,17,1/9/2001, 22  osborne  street ,bundaberg,4670,qld, 07  2323  6298 ,brady.james@yahoo.com,n/a,2018-7-31t10:03+00:00,casual-worker,0,5435801f1b3db71267de85443313c59c,2,2018-02-15t01:30+00:00
b175863283,william,murray,walker,m,34,10/5/1984, 215  rowbotham  street ,toowoomba,4350,qld, 07  8776  5151 ,walker11@gmail.com,married,2018-7-31t02:34+00:00,shop-assistent,7300.0,ecd2c72692073e769fb10ae7a2ff73a2,13,2016-04-12t10:16+00:00
i156421050,adeacia,rene,arreola,f,28,21/6/1990, 20  candish  street ,woodridge,4114,qld, 07  4889  6649 ,arreola18@aol.com,married-de-facto,2018-7-31t08:56+00:00,other-technician,54000.0,9c24ee80e58fad671cafc2f2d96bd05d,9,2018-03-10t16:21+00:00
f173298232,freddy,keith,henderson,m,22,26/6/1996, 19  day  street ,warilla,2528,nsw, 02  9597  4033 ,freddy.henderson@gmail.com,not-married,2018-7-31t07:38+00:00,cleaner,11600.0,ef86b73e7229bcca2f0c4b7711baffce,3,2018-03-22t23:31+00:00
d178569624,sharon,lynn,brinn,f,33,24/10/1985, 42  kurrajong  crescent ,nightcliff,0810,nt, 08  4399  2008 ,jqhbmmdtgt@mail.com,married,2018-7-31t15:37+00:00,legal-professional,75000.0,0b38031411894a8091f82172b5b24af8,14,2018-04-14t16:59+00:00
c161815196,barbara,perry,Miss,f,18,20/8/2000, 67  hannam  vale  road ,moorland,2443,nsw, 02  1296  6296 ,knopngijsb@mail.com.au,n/a,2018-7-31t12:58+00:00,casual-worker,0,b809e683dd170f45ada1f9f7004a4211,1,2018-05-07t07:05+00:00
c186537794,bernhard,carmine,kline,m,30,3/1/1988, 1  pioneer  road ,menai,2234,nsw, 02  2328  7744 ,kline34@aol.com,separated,2018-7-31t12:58+00:00,ict-technician,107100.0,19a19f745acc0bca3588b9dd6abe4f5d,10,2017-11-12t06:20+00:00
a103462431,ernestine,krause,lott,f,36,23/4/1982, 17  harriet  street ,wallsend,2287,nsw, 02  8222  5214 ,lott.ernestine@gmail.com,not-married,2018-7-31t02:06+00:00,clerical-worker,18100.0,dfde90de2da10e1f83500b7e9a257fc4,15,2016-08-24t12:39+00:00
b114227728,polly,c,walter,f,57,7/3/1961, 211  green  valley  road , green    valley ,2168,nsw, 02  9842  7177 ,aselkpakar@yahoo.com,married-de-facto,2018-7-31t12:55+00:00,other-technician,54800.0,74b6c5f8513b9bfa7666035977789077,38,2018-02-07t10:02+00:00
e139557008,danny,eugene,mcdowall,m,29,19/3/1989, 328  wattletree  road , malvern    east ,3148,vic, 03  2721  6554 ,rfgiacbpqf@gmail.com,married,2018-7-31t16:46+00:00,ict-technician,90600.0,785c6dbb9c162df24a56d886edaffd2c,5,2013-08-02t11:46+00:00
d115308561,brandon,domike,dula,m,52,23/8/1966, 24  pentland  parade ,seddon,3011,vic, 03  1982  3436 ,brandon.dula@mail.com,married,2018-7-31t01:27+00:00,engineering-worker,64800.0,9be0ea67f81d440a8902c05df503e234,33,2018-04-25t15:26+00:00
i147065384,andrew,,willis,m,49,19/6/1969, 65  greville  avenue , sanctuary    point ,2540,nsw, 02  7920  9863 ,willis.andrew@hotmail.com,not-married,2018-7-31t10:38+00:00,ict-technician,177500.0,8ae8cb59723e3e41651703b71301ecac,30,2018-02-21t15:51+00:00
i157892276,daniel,eugene,culler,m,40,5/3/1978, 152  fern  road ,wilson,6107,wa, 08  7235  5156 ,aiahrmbite@yahoo.com,divorced,2018-7-31t21:46+00:00,secretary,31800.0,e86bb8e106385e3fe9a9a498aee18768,3,2000-02-19t16:51+00:00
b131731779,walter,steven,bumgardner,m,38,3/5/1980, 23  roberts  way , wagga    wagga ,2650,nsw, 02  7619  1374 ,bumgardner35@aol.com,married-de-facto,2018-7-31t17:50+00:00,other-technician,97300.0,6094e71c28caf0933fd393655730e3de,19,2018-02-06t05:13+00:00
a114612523,mary,cox,bowen,f,43,16/1/1975, 16  skylark  circuit , bella    vista ,2153,nsw, 02  7307  0025 ,bowen.mary@aol.com,married-de-facto,2018-7-31t15:12+00:00,education-professional,67700.0,657f9c91c8e71dcbc5d6b5c66930c280,23,2017-06-22t04:31+00:00
b114325937,blair,lawrence,eudy,m,21,12/9/1997, 1  benelong  crescent , bellevue    hill ,2023,nsw, 02  5996  3377 ,blair100@mail.com.au,married,2018-7-31t01:40+00:00,engineering-worker,55600.0,91db215b22eaecdece3dd71e14f1c6ef,2,2018-01-10t14:51+00:00
g144411886,catherine,b,kidd,f,35,12/3/1983, 1  woodland  street ,doncaster,3108,vic, 03  7247  0748 ,kidd.catherine@gmail.com,not-married,2018-7-31t22:18+00:00,chief-executive,83900.0,209124d1c1716a4425decfe7336afd3b,7,2009-11-27t24:59+00:00
a190065321,curtis,bernard,serrano,m,59,25/10/1959, 1  lower  fort  street ,sydney,2000,nsw, 02  1987  4594 ,serrano.curtis@mail.com,married-de-facto,2018-7-31t11:03+00:00,other-technician,158100.0,f5dfd39516e5141d1fc7523d96edd863,40,2018-03-18t20:57+00:00
i107456862,alan,w,pike,m,36,29/11/1982, 33  alfred  street , north    melbourne ,3051,vic, 03  0005  1237 ,pike.alan@mail.com.au,married-de-facto,2018-7-31t03:44+00:00,ict-technician,88400.0,98aa69f080dd8418b328a3352561d099,17,2018-01-25t01:35+00:00
b192116750,james,shae,nettles,m,47,1/8/1971, 63  fairfield  road ,guildford,2161,nsw, 02  0259  4294 ,james.nettles@aol.com,married,2018-7-31t06:35+00:00,other-worker,52300.0,7f831d1806bef111788f24467a6eb20f,27,2017-08-07t11:30+00:00
d114703461,julian,vance,shires,m,27,24/6/1991, 304  rathmines  street ,thornbury,3071,vic, 03  1713  8445 ,jccdtaeehh@gmail.com,not-married,2018-7-31t18:05+00:00,factory-worker,11300.0,c560be6ca51afa70ed0d8ebefb50553c,4,2014-02-20t14:43+00:00
c185186822,carlos,howard,phelps,m,30,24/12/1988, 22  lowanna  street ,braddon,2612,act, 02  3226  4441 ,carlos55@gmail.com,married,2018-7-31t07:07+00:00,other-technician,108600.0,b5bf8c411a61ff2a8795e32d7c1cefd6,10,2017-10-11t10:14+00:00
f187719509,koran,gordon,gaddy,m,24,4/2/1994, 27  myoora  road , terrey    hills ,2084,nsw, 02  6696  4809 ,gaddy59@mail.com.au,not-married,2018-7-31t12:20+00:00,taxi-driver,12600.0,50f8d983020d8254488cfb9bab0207f2,5,2018-03-09t03:03+00:00
c197352578,lashounda,leah,piver,f,41,23/7/1977, 126  stanley  road , camp    hill ,4152,qld, 07  2630  8403 ,qqpegcbras@gmail.com,married,2018-7-31t05:42+00:00,ict-technician,71500.0,c108d6153efc0a3b136ecf6bf21027ae,17,2013-08-22t08:32+00:00
f192685027,william,yu,ross,m,31,17/8/1987, 67  laura  street ,clontarf,4019,qld, 07  8403  7758 ,ross57@mail.com.au,not-married,2018-7-31t06:12+00:00,health-support-worker,38600.0,7c1d7d5176dc7165c4cc2cfb327dc4c3,5,2011-08-17t20:30+00:00
i130974040,william,james,clevesy,m,22,27/2/1996, flicks  crossing ,murgon,4605,qld, 07  8325  5007 ,william3@yahoo.com,married,2018-7-31t22:02+00:00,ict-technician,83800.0,ec6e84d79a5dd2e8866477f7e7c2c977,3,2018-01-05t15:06+00:00
b123273091,henry,jon,petty,m,37,17/10/1981, 3  huntingdon  parade , cambridge    gardens ,2747,nsw, 02  0465  8890 ,petty.henry@aol.com,not-married,2018-7-31t10:38+00:00,education-professional,102800.0,6a8341667ca1fb881d322d8dad79512b,16,2016-07-14t14:06+00:00
i170010249,thomas,bryon,hyppolite,m,39,17/9/1979, o'brien  avenue ,berridale,2628,nsw, 02  9000  1134 ,kekcgiecdn@mail.com.au,not-married,2018-7-31t09:11+00:00,manager,166000.0,59f8413d5568e625635ab3844c95907c,18,2016-03-02t06:10+00:00
g163802276,diana,lynn,teague,f,25,1/1/1993, touriga  street ,thornlands,4164,qld, 07  2640  4222 ,teague.diana@aol.com,married,2018-7-31t12:32+00:00,construction-worker,20200.0,e0285949dc95a49c89f91bc0a13e04be,6,2018-03-22t12:09+00:00
i188090516,michael,dean,Mr,m,47,18/6/1971, 11  silky  oak  court , bray    park ,2484,nsw, 02  3907  6730 ,michael.hinckley@yahoo.com,divorced,2018-7-31t12:03+00:00,ict-technician,92600.0,92461c8e3988e9994d2c6188766f8c1e,26,2016-05-08t05:07+00:00
g135240720,sharee,bryan,ackerman,f,23,12/12/1995, 20  fifth  street ,minlaton,5575,sa, 08  6534  5641 ,sharee.ackerman@yahoo.com,married-de-facto,2018-7-31t24:24+00:00,construction-worker,25900.0,024e109ccb3132607d752d5100f89a03,4,2018-02-17t18:20+00:00
e109349783,brian,collins,ross,m,20,3/2/1998, 124  derby  street ,penrith,2750,nsw, 02  3557  4016 ,ross.brian@aol.com,not-married,2018-7-31t20:32+00:00,casual-worker,5100.0,a83d5dbf68ae5abc1e3d6158451d5f00,1,2018-03-05t08:26+00:00
g163827716,lynn,,stevenson,f,35,20/3/1983, 66  jagera  circuit ,taigum,4018,qld, 07  6877  1627 ,stevenson.lynn@mail.com.au,not-married,2018-7-31t07:53+00:00,manager,95700.0,d407829e0d63224c9f33617e094a1ed9,15,2017-05-15t01:57+00:00
c174226548,anthony,,musko,m,22,27/7/1996, 10  stephen  street ,forth,7310,tas, 03  0145  2089 ,anthony.musko@hotmail.com,married,2018-7-31t24:30+00:00,un-employed,1400.0,3a12309b7cadc3291148f5caafe77e62,3,2018-05-20t04:36+00:00
e137558170,mark,w,stewart,m,34,10/11/1984, glendhu  station , mount    garnet ,4872,qld,,mmkfqeogne@hotmail.com,married-de-facto,2018-7-31t01:46+00:00,clerks,35400.0,e342acb3ec68f67567a0a08e2158301f,15,2018-01-01t09:21+00:00
g124876173,william,christopher,douglas,m,25,24/11/1993, 184  beach  street ,coogee,2034,nsw, 02  9842  6958 ,douglas.william@yahoo.com,not-married,2018-7-31t08:39+00:00,machinary-driver,10300.0,9ec2d746049df5e146fb81c8abd78383,6,2018-06-22t22:17+00:00
g177676358,jeremy,lenwood,green,m,21,16/1/1997, 16  high  street ,saratoga,2251,nsw, 02  3420  2627 ,jeremy91@aol.com,widowed,2018-7-31t20:18+00:00,machinary-driver,10600.0,572a089c867a0b924c01b6ad0db3e61a,2,2018-03-22t06:55+00:00
a127523629,jeremy,,howard,m,41,18/5/1977, 7  bailey  avenue , st    kilda    east ,3183,vic, 03  1509  1496 ,qhgdlfbjtc@mail.com,married,2018-7-31t15:24+00:00,ict-professional,129800.0,1a145ab7283b1faf8357eef539458155,22,2018-04-22t01:04+00:00
i192652303,glenn,w,clyburn,m,28,3/7/1990, 24  naturaliste  grove ,ballajura,6066,wa, 08  5859  4073 ,glenn.clyburn@gmail.com,not-married,2018-7-31t18:15+00:00,cleaner,12900.0,b08df7649687d20c0e954b273d8822f5,9,2018-03-02t15:06+00:00
g120687092,phyllis,stogner,barghout,f,52,19/8/1966, 313  hindmarsh  drive ,rivett,2611,act, 02  3689  5981 ,barghout.phyllis@gmail.com,married,2018-7-31t08:23+00:00,carer,33000.0,51d36f1b72e8350113f6d2bc0b627566,32,2017-05-10t20:08+00:00
f145936197,cheryl,louise,gillespie,f,21,22/9/1997, 62  denver  street , bentleigh    east ,3165,vic, 03  5424  4621 ,tsorfscgfr@mail.com.au,not-married,2018-7-31t08:05+00:00,personal-services-worker,12000.0,7511ed9dbe95c326c3aa92caf2737cce,2,2018-03-06t06:50+00:00
h115501972,molly,michelle,killian,f,37,9/11/1981, 12  elston  court ,sale,3850,vic, 03  9813  1424 ,killian.molly@gmail.com,not-married,2018-7-31t08:13+00:00,ict-technician,63900.0,f9aab397a3d3cf90fb0fd5ac58fac898,18,2018-01-18t16:45+00:00
f189017453,chalyn,ashley,eckels,f,29,6/7/1989, 1  little  lake  crescent ,warilla,2528,nsw, 02  2378  1072 ,eckels.chalyn@yahoo.com,married,2018-7-31t12:22+00:00,other-worker,31000.0,daf9c564085dba5e439045f01fad3ad6,10,2018-02-23t19:37+00:00
g166224379,ernest,andrew,gosney,m,20,1/5/1998, 94  river  esplanade ,mooloolaba,4557,qld, 07  4123  6369 ,ernest69@gmail.com,not-married,2018-7-31t17:07+00:00,other-technician,70700.0,e8837ecc621ef7ff34fa673a87daefac,1,2018-01-23t22:16+00:00
c130957900,linda,michele,ordiway,f,38,11/10/1980, 19  kalang  road , elanora    heights ,2101,nsw, 02  0389  7679 ,ordiway.linda@gmail.com,not-married,2018-7-31t24:35+00:00,other-worker,36700.0,e2e52e87d5f7b41c25a83ef24e7a7948,19,2018-01-07t20:07+00:00
g177485785,james,ryan,mitchell,m,19,14/9/1999, 55  paperbark  way , mcminns    lagoon ,0822,nt, 08  5460  6186 ,james.mitchell@yahoo.com,married,2018-7-31t20:52+00:00,factory-worker,10100.0,1ac496f78100f2a89c9bfa26b2688147,0,2018-06-03t03:12+00:00
f179531486,joshua,mack,moseley,m,44,31/10/1974, 8  pickard  street , lenah    valley ,7008,tas, 03  9416  8106 ,bhgnkhnpgk@aol.com,not-married,2018-7-31t17:30+00:00,un-employed,3100.0,2d3c57716e1cc3bab150d794ee71d96f,25,2018-05-11t08:13+00:00
i105572119,courtney,danielle,swann,f,23,16/7/1995, 18  bean  crescent ,mckellar,2617,act, 02  3188  7407 ,swann.courtney@mail.com.au,married,2018-7-31t03:59+00:00,looking-for-employment,600.0,9ec5f92e2a006fa26a6ea4f517eb1cd7,4,2018-02-03t04:13+00:00
d160832872,harry,robert,bonelli,m,29,13/1/1989, 132  darlington  road ,darlington,2008,nsw, 02  5558  3739 ,bonelli78@mail.com,not-married,2018-7-31t18:11+00:00,manager,109100.0,ccc4a1ad1a9c621b3ff03fa79d86e9a0,7,2015-05-06t13:10+00:00
c187529510,mee,boyd,herndon,f,32,7/1/1986, 26  wakoola  street ,wakool,2710,nsw, 02  3814  0084 ,rgbjpncnbm@gmail.com,married,2018-7-31t01:44+00:00,automotive-worker,23200.0,b6942cfa061db121caae2a330e290147,12,2017-03-27t14:09+00:00
b172836194,carlos,eugene,dyer,m,31,20/9/1987, 44  bennett  street ,dubbo,2830,nsw, 02  3145  6748 ,dyer76@mail.com,not-married,2018-7-31t02:26+00:00,other-worker,66300.0,dfd575e48b37c5e409efc0806cd6209b,12,2018-01-02t23:51+00:00
e106184567,aaron,howard,davis,m,21,10/9/1997, 24  bluegum  avenue , paradise    point ,4216,qld, 07  2841  9422 ,aaron.davis@gmail.com,married-de-facto,2018-7-31t06:41+00:00,ict-professional,88800.0,ed52ad6d1ec31f8650d9baaa8da8aee3,2,2018-04-16t08:09+00:00
a103384942,roberta,russell,stiller,f,28,23/12/1990, 2  kitchener  road ,cherrybrook,2126,nsw, 02  8062  8402 ,stiller.roberta@aol.com,married,2018-7-31t08:54+00:00,other-technician,60100.0,2a52ce9c7906361f00a613cccc2fce47,9,2018-06-11t19:25+00:00
e139106752,sandra,bowman,hunt,f,37,25/1/1981, 33  eddington  street ,bridgewater,7030,tas, 03  8214  8184 ,sskmbafdpq@gmail.com,married,2018-7-31t06:11+00:00,ict-technician,71700.0,3edb448bab19a7f68d5b42209c1e1dd0,11,2011-02-08t22:04+00:00
f199309734,tolar,william,higgins,m,46,25/1/1972, 42  griffiths  street ,holt,2615,act, 02  8195  5931 ,higgins69@gmail.com,married,2018-7-31t19:23+00:00,other-technician,112800.0,d459818c3c49c15322d59d32dd6ef787,27,2018-01-05t13:12+00:00
c171352000,anthony,wayne,mcclure,m,23,22/5/1995, shoal  bay  retreat , little    grove ,6330,wa, 08  7174  7016 ,anthony42@hotmail.com,separated,2018-7-31t23:30+00:00,other-labourer,10300.0,66a79b1c854b97bc8d3ac5953dda0894,4,2018-06-08t07:06+00:00
d111166991,heather,b,ricketts,f,26,7/10/1992, 5  quarry  crescent , stuart    park ,0820,nt, 08  5389  3643 ,ricketts34@yahoo.com,not-married,2018-7-31t05:55+00:00,automotive-worker,20100.0,7ae2dd2990e65be61a59f276982f02eb,7,2018-04-11t18:02+00:00
h190751921,ashleigh,jean,goldenberg,f,55,24/9/1963, 19  argyle  street , red    hill ,4059,qld, 07  3592  4546 ,geooprfrlj@mail.com.au,married,2018-7-31t23:07+00:00,construction-worker,62700.0,0e52be0c87ba0ea545069e23cb183948,36,2018-01-08t23:38+00:00
b185118881,mechal,marie,strickland,f,32,14/8/1986, 3  douglas  street ,earlwood,2206,nsw, 02  8654  4282 ,mechal55@aol.com,married,2018-7-31t24:07+00:00,other-technician,63800.0,1678597eace0458dfb17e80b3b3fa322,13,2018-04-10t22:30+00:00
g117857467,rachel,elizabeth,anderson,f,42,5/2/1976, 8  fenwick  place ,belconnen,2617,act, 02  4379  4432 ,cejeefpgas@hotmail.com,married-de-facto,2018-7-31t17:03+00:00,ict-technician,53800.0,d7554306b9bee2c834f0cbf89f17b42c,23,2018-03-05t21:35+00:00
d164817488,brenda,carranza,morris,f,38,3/6/1980, 42  capital  avenue , glen    waverley ,3150,vic, 03  5077  8690 ,morris48@gmail.com,not-married,2018-7-31t11:27+00:00,other-technician,73700.0,fbfd9f52542376b69810554d93655c7f,19,2018-05-18t05:32+00:00
d155769308,rebecca,hawkins,peterson,f,33,6/8/1985, 71  stafford  road ,kedron,4031,qld,rebecca9@mail.com,,married,2018-7-31t12:11+00:00,art-media-professional,65600.0,024b18c2cb171c5f777c0ce983b1d507,10,2014-05-14t22:22+00:00
g111047441,melvin,o,bueno,m,28,13/6/1990, 11  wondai-chinchilla  road ,wilkesdale,4610,qld, 07  8704  6212 ,melvin68@mail.com,married,2018-7-31t09:52+00:00,personal-services-worker,38600.0,8ebe7a638364d71f24b64feebba991b1,9,2018-06-01t09:19+00:00
b142655768,charles,r,fortner,m,39,5/4/1979, 65  shaftesbury  road ,burwood,2134,nsw, 02  7202  1834 ,charles.fortner@mail.com,not-married,2018-7-31t04:45+00:00,construction-worker,90500.0,cce9ad0f70e0165b80e3599562850d11,18,2016-03-18t13:57+00:00
d104935023,oluwatomi,ola,mcdavid,m,26,20/6/1992, 47  groundwater  road ,gympie,4570,qld, 07  3166  6736 ,pblikggmrf@aol.com,not-married,2018-7-31t11:50+00:00,education-professional,106200.0,4f85bd58108530abf4c37075bda7285d,7,2018-04-11t23:07+00:00
i188209556,paul,eric,sapp,m,33,31/1/1985, 8  mundowie  place , claremont    meadows ,2747,nsw, 02  5686  9811 ,sapp.paul@mail.com,divorced,2018-7-31t10:19+00:00,clerks,42400.0,1067b6e6610b11760b2a1e364da131fe,14,2018-05-01t16:22+00:00
b164660964,kenneth,marie,conder,f,38,31/10/1980, 174  wilding  street ,doubleview,6018,wa, 08  6882  8243 ,conder85@yahoo.com,not-married,2018-7-31t09:26+00:00,other-technician,58400.0,83c6b6d481dc1e1ded9d2b00fabc4510,18,2017-11-27t11:54+00:00
d174664275,phyllis,joywaldrop,woods,f,17,27/1/2001, 33  roberts  avnue , barrack    heights ,2528,nsw, 02  7522  4843 ,abfeirqjrd@aol.com,n/a,2018-7-31t23:44+00:00,casual-worker,0,43032798fc7c8f28883051a30124b99e,2,2018-02-25t04:37+00:00
f145430721,sue,sheek,smalls,f,23,6/2/1995, 9  charlotte  street , fannie    bay ,0820,nt, 08  8144  8441 ,sue.smalls@yahoo.com,married,2018-7-31t16:18+00:00,farm-worker,5600.0,a23053538e875d22822ac430caf24727,4,2018-04-15t10:16+00:00
e179644523,jessie,pender,edmonds,f,22,5/4/1996, 112  hall  street ,bondi,2026,nsw, 02  0723  0266 ,jessie.edmonds@mail.com.au,married,2018-7-31t09:02+00:00,clerical-worker,12300.0,4c935b49bd930c1c08495010938084c2,3,2018-02-23t17:35+00:00
c130384876,david,thomas,seegars,m,82,27/4/1936, profkes  road  taramayne , mount    tarampa ,4311,qld, 07  0785  4692 ,david49@aol.com,married,2018-7-31t07:43+00:00,re-tired,0,55956c7292a78e399aafa1ee49473f66,45,2017-09-18t10:29+00:00
